순번,회사명,공장대표주소(지번),업종명,전화번호
32,(주) 예맥통상,부산광역시 사하구 신평동 431-2번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업",051-207-9393
33,(주) 제이케이이엔지,부산광역시 강서구 송정동 1760-5번지,절삭가공 및 유사처리업 외 6 종,051-831-7186
34,(주) 천명하이텍,부산광역시 사상구 감전동 140-2 Woon Micron,주철관 제조업 외 29 종,051-514-3104
35,(주) 티아,부산광역시 강서구 화전동 582-4번지,유압기기 제조업,051-941-2097
36,(주) 한솔아이스컴패니,부산광역시 부산진구 전포동  337-30번지,얼음 제조업,051-907-9235
37,(주) 화림제약,부산광역시 남구 용호동 377-3번지 A동 7층 전체 A동 7층 전체호,한의약품 제조업,051-626-7726
38,(주)21씨정공,부산광역시 강서구 대저2동 2441-1,절삭가공 및 유사처리업,051-301-7741
39,(주)ALF,부산광역시 사상구 학장동 724-24번지,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",051-311-4682
40,(주)ALF,부산광역시 사상구 학장동 724-24 (주) ALF,"산업용 오븐, 노 및 노용 버너 제조업",051-311-4682
41,(주)BHE,부산광역시 강서구 미음동 1537-1번지 해양융복합동(본관동) 302호,방송장비 제조업 외 2 종,051-941-1504
42,(주)BM,부산광역시 영도구 동삼동 1 번지 한국해양대학교 창업보육센터508,천연수지 및 나무 화학물질 제조업 외 1 종,070-4066-1310
43,(주)DH전장,부산광역시 금정구 금사동 37-10번지 보림팩토피아 407호~411호,전투용 차량 제조업 외 14 종,051-521-1120
44,(주)HJ중공업,부산광역시 영도구 봉래동5가 3 (주)HJ중공업,강선 건조업 외 7 종,051-410-3111
45,(주)HN푸드,부산광역시 사하구 장림동 1108-15번지,기타 곡물 가공품 제조업,051-263-7249
46,(주)IEN한창,부산광역시 강서구 송정동 1593-3번지,기타 전기 변환장치 제조업 외 3 종,051-831-3470
47,(주)IEN한창,부산광역시 기장군 장안읍 반룡리 835-1 번지,변압기 제조업 외 1 종,051-831-3470
48,(주)JH테크,부산광역시 사상구 감전동 514-3번지,볼트 및 너트류 제조업 외 2 종,051-316-8062
49,(주)JK알에스티,부산광역시 강서구 생곡동 1599-8 (주)JK알에스티,배전반 및 전기 자동제어반 제조업 외 9 종,051-832-0533
50,(주)KD밸브,부산광역시 사하구 다대동 1504-7번지,"탭, 밸브 및 유사장치 제조업",051-261-0856
51,(주)KD밸브,부산광역시 사하구 다대동 1509-3번지,"탭, 밸브 및 유사장치 제조업",051-261-0856
52,(주)KEM,부산광역시 강서구 대저2동 3148-2번지,"전기회로 개폐, 보호장치 제조업 외 1 종",051-322-5151
53,(주)KTE,부산광역시 강서구 송정동 1497-1번지,배전반 및 전기 자동제어반 제조업 외 5 종,051-265-0255
54,(주)KTE,부산광역시 강서구 송정동 1497-10번지,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업 외 2 종",051-265-0255
55,(주)MS가스,부산광역시 사상구 학장동 276-22번지,산업용 가스 제조업,051-316-2301
56,(주)MS동남산업가스,부산광역시 사상구 학장동 276-21번지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 1 종,051-312-2825
57,(주)MS이엔지,부산광역시 사상구 학장동 264-5 외 3필지,"탭, 밸브 및 유사장치 제조업 외 2 종",051-312-5501
58,(주)The예주,"부산광역시 북구 만덕동 447-8 1,2층","근무복, 작업복 및 유사의복 제조업 외 14 종",051-331-9003
59,(주)Y2산업,부산광역시 사하구 장림동 1144-14번지,기타 가공 공작기계 제조업,051-264-4714
60,(주)가가대소,부산광역시 해운대구 우동 267-31번지 2층,과자류 및 코코아 제품 제조업,051-913-6884
61,(주)가나,부산광역시 해운대구 재송동 1209 센텀아이에스타워 6층 614호 6층 614호,"근무복, 작업복 및 유사의복 제조업",070-4035-1350
62,(주)가나에스아이피,부산광역시 금정구 회동동 208-45,간판 및 광고물 제조업 외 1 종,051-531-7557
63,(주)가람디자인,부산광역시 금정구 금사동 62-8번지,간판 및 광고물 제조업 외 3 종,051-747-9733
64,(주)가람이앤씨,부산광역시 기장군 정관읍 용수리 1047-13번지 B동,전동기 및 발전기 제조업 외 3 종,062-974-1305
65,(주)가야기술,부산광역시 사상구 학장동 212-10번지,금속탱크 및 저장용기 제조업 외 1 종,051-314-6837
66,(주)가야기술,부산광역시 사상구 감전동 141-1번지,액체 여과기 제조업 외 11 종,051-314-6837
67,(주)가야특수강,부산광역시 강서구 지사동 1173-3번지,"탭, 밸브 및 유사장치 제조업",051-831-9041
68,(주)가온테크,부산광역시 사상구 학장동 262-16번지,유압기기 제조업 외 14 종,051-319-4530
69,(주)가온테크,부산광역시 사상구 학장동 262-16,유압기기 제조업 외 26 종,051-319-4530
70,(주)가우리기술,부산광역시 강서구 송정동 1500-15번지,산업용 로봇 제조업,미등록
71,(주)가유 부산1공장,부산광역시 강서구 구랑동 1193-4번지,기어 및 동력전달장치 제조업,055-252-1701
72,(주)가유 부산2공장,부산광역시 강서구 미음동 1643-1,자동차용 신품 동력전달장치 제조업 외 2 종,055-252-1701
73,(주)가포,부산광역시 동래구 온천동 1442-20번지,간판 및 광고물 제조업 외 13 종,051-505-6191
74,(주)가현식품,부산광역시 강서구 대저1동 1297-66,빵류 제조업,051-991-1672
75,(주)감성플랜,부산광역시 해운대구 우동 1462번지 센텀그린타워(CENTUM GREEN TOWER) 12층 1205,그 외 기타 달리 분류되지 않은 제품 제조업 외 3 종,051-746-9055
76,(주)강남,부산광역시 사하구 구평동 399번지 외 18필지,강선 건조업 외 4 종,051-260-6000
77,(주)강동미디어,부산광역시 연제구 거제동 581-3번지 한신상가 3층,비디오 및 기타 영상기기 제조업 외 2 종,051-864-6500
78,(주)강림씨에스피,부산광역시 강서구 화전동 579-1번지,강관 제조업 외 1 종,051-644-3111
79,(주)강림정공,부산광역시 사상구 모라동 717-5번지,그 외 자동차용 신품 부품 제조업 외 10 종,051-301-0560
80,(주)강만,부산광역시 강서구 신호동  211-1번지,육상 금속 골조 구조재 제조업 외 1 종,051-831-9025
81,(주)강산지앤지,부산광역시 강서구 강동동 4048-3번지,그 외 기타 분류 안된 섬유제품 제조업,051-313-3397
82,(주)강원이솔루션,부산광역시 강서구 지사동 1218-2,그 외 기타 특수목적용 기계 제조업 외 1 종,051-974-5892
83,(주)강진금속,부산광역시 사상구 학장동 235-4번지,육상 금속 골조 구조재 제조업 외 1 종,051-311-9500
84,(주)갭스앤디컴퍼니,부산광역시 해운대구 우동 1460번지 801호 (태아티타워),경 인쇄업 외 4 종,051-911-9890
85,(주)거둠,부산광역시 사상구 모라동 725-3번지,주방용 전기기기 제조업 외 2 종,051-305-3555
86,(주)거림케미칼,부산광역시 부산진구 개금동  295번지,기타 신발 제조업 외 1 종,051-894-8111
87,(주)거맥에스엔피,부산광역시 사하구 다대동 1515-10번지,그 외 기타 금속가공업 외 1 종,051-264-3315
88,(주)거명,"부산광역시 사하구 하단동 1157-30 삼산빌딩 4, 5층",그 외 기타 전자부품 제조업,미등록
89,(주)거보,부산광역시 강서구 송정동 1500-11,선박 구성 부분품 제조업 외 2 종,051-831-1291
90,(주)거보녹산지점,부산광역시 강서구 송정동 1529-12번지,선박 구성 부분품 제조업 외 1 종,051-831-1291
91,(주)거성모방,부산광역시 사하구 신평동 656-1번지,솜 및 실 염색가공업,051-207-6584
92,(주)거성엔지니어링,부산광역시 기장군 정관면 달산리 871-12 번지,구조용 금속 판제품 및 공작물 제조업,051-516-1882
93,(주)거연기업,부산광역시 강서구 녹산동 736-3번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,051-973-0409
94,(주)거청,부산광역시 영도구 청학동 1-35번지 외 5필지,선박 구성 부분품 제조업,051-418-7741
95,(주)건국테크,부산광역시 기장군 정관읍 달산리 1072-2,운송장비용 조명장치 제조업 외 1 종,051-526-5222
96,(주)건안산업,부산광역시 북구 구포제2동 1119-12번지,플라스틱 창호 제조업 외 2 종,051-303-3003
97,(주)건양아이티티,부산광역시 강서구 미음동 1526번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-660-9192
98,(주)건영주물,부산광역시 사상구 학장동 748-9번지,주형 및 금형 제조업,051-315-5567
99,(주)건영패밀리,부산광역시 강서구 신호동 243-7 번지,그 외 기타 전기장비 제조업 외 4 종,미등록
100,(주)건우테크,부산광역시 강서구 지사동 1274-0 8동 1층,전동기 및 발전기 제조업 외 3 종,051-467-0041
101,(주)건인씨엔알,부산광역시 기장군 정관읍 용수리 1031-1번지,그 외 기타 분류 안된 비금속 광물제품 제조업,미등록
102,(주)건일,부산광역시 기장군 일광면 화전리 495-2번지,플라스틱 창호 제조업,051-704-0211
103,(주)건창축산유통,부산광역시 강서구 강동동 1973-1번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,051-941-7601
104,(주)겐츠 베이커리,부산광역시 남구 용호동 377-3번지 B1층 103~107호 B1층 103~107호,빵류 제조업,051-612-5011
105,(주)경강,부산광역시 사상구 감전동 507-7번지,그 외 기타 분류 안된 화학제품 제조업 외 2 종,051-322-2703
106,(주)경기,부산광역시 강서구 송정동 1619-5번지,운송장비 조립용 플라스틱제품 제조업 외 1 종,051-832-2055
107,(주)경기색소,부산광역시 사하구 신평동 370-39번지,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",051-291-0265
108,(주)경남엔지니어링,부산광역시 강서구 생곡동 1585-4번지,공기 조화장치 제조업 외 1 종,051-941-0001
109,(주)경동금속주방,부산광역시 사상구 학장동 275-10번지,그 외 기타 일반목적용 기계 제조업 외 7 종,051-312-0203
110,(주)경동금속주방,부산광역시 사상구 학장동 275-10 경동금속,그 외 기타 일반목적용 기계 제조업 외 11 종,051-312-0203
111,(주)경동열처리,부산광역시 강서구 송정동 1619-17,금속 열처리업,051-304-9318
112,(주)경동유리제경사,부산광역시 금정구 금사동 76-7 선진제경,디스플레이 장치용 유리 제조업,051-302-8882
113,(주)경동특수주강,부산광역시 강서구 화전동 596-5번지,강주물 주조업,051-311-1670
114,(주)경동특수주강,부산광역시 사상구 학장동 731-6번지,강주물 주조업,051-311-1670
115,(주)경동특수주강,부산광역시 사상구 학장동 732-3번지,강주물 주조업,051-311-1670
116,(주)경동특수주강,부산광역시 사상구 학장동 731-6 경동특수주강,강주물 주조업,051-311-1670
117,(주)경동화학,부산광역시 사상구 학장동 728-2번지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,051-313-8891
118,(주)경동화학,부산광역시 강서구 송정동 1722-6번지,기타 기초 무기 화학물질 제조업,051-313-8891
119,(주)경맥,부산광역시 사하구 장림동 463-3번지,기타 수산동물 가공 및 저장 처리업,051-292-8234
120,(주)경민호이스트 녹산지점,부산광역시 강서구 녹산동 1337-3번지,기타 물품 취급장비 제조업 외 1 종,055-343-6715
121,(주)경방어패럴,부산광역시 사하구 신평동 575번지,셔츠 및 블라우스 제조업 외 6 종,02-2670-7640
122,(주)경부산업,부산광역시 사하구 다대제1동 1504-2번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-263-8186
123,(주)경부산업,부산광역시 사하구 다대동 1504-13번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-263-8186
124,(주)경북전기,부산광역시 사하구 다대동 1513-1번지,변압기 제조업,051-203-4133
125,(주)경성아이젠,부산광역시 강서구 화전동 583-22번지,절삭가공 및 유사처리업,051-972-3677
126,(주)경성이피알,부산광역시 강서구 송정동 1735-12번지,선박 구성 부분품 제조업 외 2 종,051-831-4960
127,(주)경성정기,부산광역시 강서구 송정동 1603-1번지,전동기 및 발전기 제조업 외 2 종,051-831-1156
128,(주)경성정기,"부산광역시 강서구 송정동 1603-7번지 (송정동,1603-7)",철도차량 부품 및 관련 장치물 제조업,051-831-1156
129,(주)경성정기,부산광역시 강서구 송정동 1603-10,철도차량 부품 및 관련 장치물 제조업,051-831-1156
130,(주)경성피엘에스,부산광역시 강서구 구랑동 1194-2,산업용 난방보일러 및 방열기 제조업 외 1 종,051-974-1101
131,(주)경양엔지니어링,부산광역시 남구 감만동 239-21번지,액체 펌프 제조업 외 1 종,051-418-6628
132,(주)경원,부산광역시 사상구 덕포동 267-8번지,수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,051-302-1777
133,(주)경원R&D,부산광역시 사상구 삼락동 400-7,그 외 자동차용 신품 부품 제조업 외 35 종,051-304-4211
134,(주)경원화학,부산광역시 사하구 장림동 1087-14번지,도금업 외 1 종,051-262-8264
135,(주)경원화학,부산광역시 사하구 신평동 514,주형 및 금형 제조업 외 1 종,미등록
136,(주)경인,부산광역시 영도구 청학동 322-12번지,선박 구성 부분품 제조업,051-418-5642
137,(주)경일금속,부산광역시 강서구 송정동 1571-4번지,도금업,051-831-1667
138,(주)경일금속 2공장,부산광역시 강서구 송정동 1569-14번지,도금업,051-831-1667
139,(주)경전산업,부산광역시 서구 동대신동2가  130번지,전구 및 램프 제조업,051-242-2009
140,(주)경진스크류,부산광역시 영도구 대평동2가 192번지,선박 구성 부분품 제조업,051-416-3082
141,(주)경진하네스산업,부산광역시 사하구 장림동 538-11번지,자동차용 신품 전기장치 제조업 외 1 종,051-264-1184
142,(주)경창엔지니어링,부산광역시 사상구 모라동 659-5번지,"산업용 오븐, 노 및 노용 버너 제조업 외 7 종",051-304-5751
143,(주)경해냉장지점,부산광역시 서구 남부민동 692-2번지,얼음 제조업,051-254-8693
144,(주)고려금속,부산광역시 강서구 화전동 590-2번지,그 외 기타 특수목적용 기계 제조업 외 1 종,051-304-1781
145,(주)고려금속,부산광역시 사상구 덕포동 369-12번지,강주물 주조업 외 1 종,051-304-1781
146,(주)고려마이카,부산광역시 기장군 정관읍 매학리 531-11번지,도장 및 기타 피막처리업 외 5 종,051-508-1369
147,(주)고려식품,부산광역시 금정구 금사동 37-1번지,가금류 가공 및 저장 처리업 외 2 종,051-521-3001
148,(주)고려윈시스,부산광역시 기장군 정관면 매학리 475-5번지,일반철물 제조업,051-727-9305
149,(주)고려정밀공업,부산광역시 사상구 삼락동 391-21 고려정밀,금속 스프링 제조업,051-303-9000
150,(주)고려특수파이프,부산광역시 강서구 화전동 586-7,그 외 기타 1차 철강 제조업,051-208-4431
151,(주)고려티티알,부산광역시 강서구 녹산동 1333-5번지,기타 신발 제조업 외 2 종,051-321-2012
152,(주)고려펌프마린,부산광역시 사상구 덕포동 255-3번지,"탭, 밸브 및 유사장치 제조업 외 1 종",051-293-6610
153,(주)고려폴리머,부산광역시 연제구 거제동 739-11,간판 및 광고물 제조업 외 12 종,051-644-8877
154,(주)고려폴리머   ,부산광역시 기장군 장안읍 반룡리 908번지,전시 및 광고용 조명장치 제조업,051-644-8877
155,(주)고려화학,부산광역시 기장군 정관읍 용수리 1040-1번지,기타 기초 무기 화학물질 제조업 외 1 종,051-728-6237
156,(주)고릴라브루잉컴퍼니 정관지점,부산광역시 기장군 정관읍 예림리 1089-2,맥아 및 맥주 제조업 외 1 종,051-714-6258
157,(주)고산지에스,부산광역시 기장군 일광읍 화전리 321-1 (주)예서건설 2층,기타 음향기기 제조업,051-863-0077
158,(주)고성산업,부산광역시 강서구 대저1동 786-6번지,육류 기타 가공 및 저장처리업 (가금류 제외),051-832-8322
159,(주)골드밀러,부산광역시 강서구 봉림동 559-2번지,그 외 기타 플라스틱 제품 제조업 외 2 종,051-832-6786
160,(주)골드펌프엔지니어링,부산광역시 사상구 감전동 171-26번지,액체 펌프 제조업,051-311-2166
161,(주)골든블루,부산광역시 기장군 정관읍 예림리 926번지,탁주 및 약주 제조업,051-727-2883
162,(주)관광,부산광역시 사상구 엄궁동 652-18번지 외 1필지,"탭, 밸브 및 유사장치 제조업",051-311-4124
163,(주)관문산업,부산광역시 기장군 장안읍 반룡리 829-6번지,주형 및 금형 제조업 외 4 종,051-529-8052
164,(주)관문산업 ,부산광역시 기장군 장안읍 반룡리 830-1,주형 및 금형 제조업 외 1 종,051-529-8052
165,(주)관우,부산광역시 강서구 화전동 592-9 D동,선박 구성 부분품 제조업,051-311-1295
166,(주)광덕창호산업,부산광역시 남구 대연동 217-10번지,플라스틱 창호 제조업 외 1 종,051-628-0087
167,(주)광동산업기계,부산광역시 강서구 송정동 1495-1번지,"탭, 밸브 및 유사장치 제조업 외 1 종",051-831-1833
168,(주)광동안전,부산광역시 사하구 다대동 1522-1번지,금속 표시판 제조업,051-203-2666
169,(주)광림마린테크,부산광역시 강서구 미음동  1210-2번지,선박 구성 부분품 제조업 외 3 종,미등록
170,(주)광림마린테크,부산광역시 강서구 미음동 1564-2,선박 구성 부분품 제조업 외 2 종,051-313-0055
171,(주)광명광고공사,부산광역시 사하구 괴정동 896-17번지,간판 및 광고물 제조업,051-202-8897
172,(주)광명부직포,부산광역시 사상구 학장동 281-8번지,부직포 및 펠트 제조업,051-312-3422
173,(주)광명생약,부산광역시 남구 용당동 128-9 (주)현대기아남구정비서비스 C동,한의약품 제조업,051-611-2257
174,(주)광명일렉,부산광역시 강서구 대저1동 1158-4번지 외 2필지,배전반 및 전기 자동제어반 제조업 외 3 종,051-302-0223
175,(주)광문오션케어,부산광역시 영도구 남항동2가 16 국제선용품유통센터 227호,선박 구성 부분품 제조업 외 1 종,051-710-7390
176,(주)광산,부산광역시 강서구 지사동 1173-2번지,선박 구성 부분품 제조업,051-974-6301
177,(주)광성계측기,부산광역시 기장군 장안읍 반룡리 838-4번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-723-3000
178,(주)광시스템,부산광역시 수영구 남천동 3-12번지,방송장비 제조업,051-627-9700
179,(주)광신테크노,부산광역시 강서구 신호동 209-3번지,일반철물 제조업,051-971-9700
180,(주)광오라이팅,부산광역시 부산진구 전포동 359-63 1층,일반용 전기 조명장치 제조업 외 1 종,051-818-1230
181,(주)광원메디텍,부산광역시 사상구 학장동 271-2번지,그 외 기타 의료용 기기 제조업,051-304-1520
182,(주)광일금속,부산광역시 강서구 송정동 1668-7번지,그 외 기타 1차 철강 제조업,051-831-8133
183,(주)광일금속,부산광역시 사상구 학장동 225-8번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-324-0006
184,(주)광일금속,부산광역시 사상구 학장동 257-6번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-324-0006
185,(주)광일정보시스템,부산광역시 사상구 모라동 728-2번지,방송장비 제조업 외 12 종,051-321-0366
186,(주)광진 ,부산광역시 사상구 감전동 173-18,"탭, 밸브 및 유사장치 제조업",051-316-1232
187,(주)광진석재,부산광역시 기장군 정관읍 모전리 510-5번지 외 5필지,건설용 석제품 제조업,051-527-0171
188,(주)광진씨앤디,부산광역시 강서구 대저2동 301-19,방송장비 제조업,미등록
189,(주)구룡산업,부산광역시 사하구 신평동 507번지,액체 펌프 제조업 외 1 종,051-291-3774
190,(주)구룡산전,부산광역시 사상구 감전동 156-6번지,승강기 제조업,051-328-1226
191,(주)구마자원 생곡지점,부산광역시 강서구 생곡동 1514-8번지,"기타 비철금속 제련, 정련 및 합금 제조업",051-941-3364
192,(주)구일지엔티,부산광역시 강서구 가리새2로 10 (미음동),주형 및 금형 제조업,051-303-0160
193,(주)국도섬유,부산광역시 해운대구 반여동 1218-2번지,남자용 겉옷 제조업 외 27 종,051-524-6001
194,(주)국일안전,부산광역시 부산진구 당감동 396-4번지,"천막, 텐트 및 유사 제품 제조업 외 2 종",051-896-6628
195,(주)국제금속,부산광역시 강서구 미음동 636번지,육상 금속 골조 구조재 제조업 외 1 종,051-831-1541
196,(주)국제기산,부산광역시 사하구 장림제1동 1091-1번지,그 외 자동차용 신품 부품 제조업 외 9 종,051-866-3700
197,(주)국제기산,부산광역시 사하구 다대동 1509-5번지,액체 여과기 제조업 외 9 종,051-266-3700
198,(주)국제비엠에스,부산광역시 연제구 연산동 57-51번지,배전반 및 전기 자동제어반 제조업,051-852-4517
199,(주)국제산업전기,부산광역시 사상구 괘법동 562-53번지 KN카블러,운송장비 조립용 플라스틱제품 제조업 외 1 종,051-328-8155
200,(주)국제산업전자,부산광역시 사상구 감전동 145-27번지,배전반 및 전기 자동제어반 제조업 외 1 종,051-327-8530
201,(주)국제식품,부산광역시 사상구 삼락동 73-3번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 2 종,051-304-4477
202,(주)국제에프씨,부산광역시 사상구 학장동 212-12번지 1층,천연 및 혼합조제 조미료 제조업,1899-4847
203,(주)국제종합특수강,부산광역시 사상구 학장동 719-9번지,그 외 기타 1차 철강 제조업,051-325-7799
204,(주)국제창호,부산광역시 사상구 엄궁동 12-2번지,플라스틱 창호 제조업,051-312-2323
205,(주)국제패킹,부산광역시 강서구 대저2동 2478-2번지,고무패킹류 제조업 외 1 종,미등록
206,(주)국제호닝,부산광역시 사상구 학장동 227-25번지,그 외 기타 1차 철강 제조업,051-324-8473
207,(주)국제화학,부산광역시 사하구 구평동 12-5번지,그 외 기타 플라스틱 제품 제조업 외 1 종,051-264-1592
208,(주)국제환경기술,부산광역시 강서구 녹산동 172-26번지 (주)국제환경기술,그 외 기타 특수목적용 기계 제조업,051-305-8886
209,(주)그래코퍼레이션 몬스터프로 지점,부산광역시 기장군 장안읍 반룡리 902-5,그 외 자동차용 신품 부품 제조업,070-4027-6819
210,(주)그레이트컴퍼니,부산광역시 기장군 정관면 달산리 1072-12번지,육상 금속 골조 구조재 제조업 외 1 종,051-728-8872
211,(주)그린공간,부산광역시 사상구 감전동 132-7 부산디지털밸리아파트형공장 B208호,그 외 기타 플라스틱 제품 제조업,070-4322-5470
212,(주)그린메라민,부산광역시 사하구 장림동 914-5번지 외 1필지,주형 및 금형 제조업,051-327-3131
213,(주)그린애드랩스코리아,부산광역시 부산진구 전포동 327-136,기타 인쇄업 외 1 종,051-802-1500
214,(주)그린오토도어,부산광역시 강서구 강동동 35-2번지,그 외 기타 1차 철강 제조업,051-337-0091
215,(주)그린조이,부산광역시 기장군 장안읍 명례리 909-5번지,셔츠 및 블라우스 제조업 외 2 종,051-864-4478
216,(주)그린케미칼,부산광역시 사상구 학장동 722-23번지,기타 기초 무기 화학물질 제조업,051-311-0361
217,(주)그린켐텍,부산광역시 강서구 송정동 1532-3번지 외 1필지,계면활성제 제조업 외 3 종,051-832-1616
218,(주)그린켐텍,부산광역시 강서구 송정동 1579-4번지,"탭, 밸브 및 유사장치 제조업",051-832-1618
219,(주)그린켐텍,부산광역시 강서구 녹산동 577-12번지,"탭, 밸브 및 유사장치 제조업",051-832-1616
220,(주)그린테크,부산광역시 중구 중앙동4가 84-10번지 동일빌딩 지하1층,컴퓨터 프린터 제조업 외 1 종,051-467-8582
221,(주)그린테크아이앤씨,부산광역시 해운대구 재송동 1208-2번지 센텀스카이비즈 A동 13층 1308 외 1필지,"물질 검사, 측정 및 분석기구 제조업 외 1 종",051-528-0578
222,(주)그린특수필터,부산광역시 강서구 강동동 3451-1번지,그 외 기타 분류 안된 섬유제품 제조업 외 2 종,051-971-9331
223,(주)그린푸드,부산광역시 서구 암남동 722-1번지 해원냉장 301,수산동물 건조 및 염장품 제조업,051-263-4076
224,(주)그린푸드,부산광역시 강서구 송정동 1644-8번지,수산동물 냉동품 제조업 외 1 종,051-790-7777
225,(주)그린피앤티,부산광역시 강서구 송정동 1497-7번지,일반용 도료 및 관련제품 제조업,051-831-2291
226,(주)그림스,부산광역시 영도구 청학동 217-80번지,선박 구성 부분품 제조업,051-313-2222
227,(주)극동기계,부산광역시 사상구 학장동 262-8번지,그 외 기타 특수목적용 기계 제조업 외 1 종,051-325-1161
228,(주)극동기계,부산광역시 사상구 학장동 262-7,그 외 기타 특수목적용 기계 제조업 외 2 종,051-325-1161
229,(주)극동마켓팅,부산광역시 강서구 봉림동 29-4번지,미등록,051-971-1163
230,(주)극동스텐,부산광역시 강서구 송정동 1578-6번지,금속탱크 및 저장용기 제조업 외 1 종,051-832-1661
